Date,Median Sales Price,Household Estimates,Real GDP per Capita,Unemployment Rate
2005-07-01,236400,108432,48228,5.0
2005-10-01,243600,108888,48381,4.7
2006-01-01,247700,109289,48856,5.0
2006-04-01,246300,109450,48891,4.6
2006-07-01,235600,109629,48809,4.7
2006-10-01,245400,109932,49065,4.2
2007-01-01,257400,109704,48987,4.8
2007-04-01,242200,110341,49251,4.4
2007-07-01,241800,110299,49455,4.7
2007-10-01,238400,110878,49506,4.6
2008-01-01,233900,110824,49060,5.3
2008-04-01,235300,111228,49196,5.2
2008-07-01,226500,111730,48841,6.0
2008-10-01,222500,111854,47697,6.6
2009-01-01,208400,111368,46941,8.8
2009-04-01,220900,112119,46781,9.1
2009-07-01,214300,111459,46826,9.6
2009-10-01,219000,111710,47170,9.5
2010-01-01,222900,111850,47280,10.4
2010-04-01,219500,112215,47649,9.5
2010-07-01,224100,111914,47873,9.5
2010-10-01,224300,112451,48077,9.1
2011-01-01,226900,112164,47811,9.5
2011-04-01,228100,112473,48077,8.9
2011-07-01,223500,113549,48082,9.1
2011-10-01,221100,114086,48529,8.3
2012-01-01,238400,114122,48771,8.6
2012-04-01,238700,114200,48917,8.0
2012-07-01,248800,114695,48881,8.1
2012-10-01,251700,115033,48797,7.5
2013-01-01,258400,114643,49066,8.1
2013-04-01,268100,114678,49084,7.4
2013-07-01,264800,114767,49366,7.3
2013-10-01,273600,114963,49749,6.7
2014-01-01,275200,114706,49552,6.9
2014-04-01,288000,115127,50027,6.1
2014-07-01,281000,115310,50565,6.2
2014-10-01,298900,116647,50717,5.5
2015-01-01,289200,116240,51041,5.8
2015-04-01,289100,117286,51305,5.3
2015-07-01,295800,117353,51414,5.2
2015-10-01,302500,117775,51381,4.8
2016-01-01,299800,117508,51377,5.2
2016-04-01,306000,118279,51580,4.8
2016-07-01,303800,118596,51836,5.0
2016-10-01,310900,118643,51966,4.5
2017-01-01,313100,118800,52048,4.9
2017-04-01,318200,118899,52358,4.2
2017-07-01,315200,119085,52685,4.4
